Country,Sex,Cause of Death,DALY per 100k Pop
Angola,Both sexes,Total,1758
Angola,Both sexes,Lower respiratory infections,1447
Angola,Both sexes,"Trachea, bronchus, lung cancers",3.14
Angola,Both sexes,Cataracts,0
Angola,Both sexes,Ischaemic heart disease,151.7
Angola,Both sexes,Stroke,103.6
Angola,Both sexes,Chronic obstructive pulmonary disease,52.42
Angola,Male,Total,1757
Angola,Male,Lower respiratory infections,1432
Angola,Male,"Trachea, bronchus, lung cancers",3.81
Angola,Male,Ischaemic heart disease,172.6
Angola,Male,Stroke,96.86
Angola,Male,Chronic obstructive pulmonary disease,51.46
Angola,Female,Total,1759
Angola,Female,Lower respiratory infections,1462
Angola,Female,"Trachea, bronchus, lung cancers",2.49
Angola,Female,Cataracts,0
Angola,Female,Ischaemic heart disease,131.7
Angola,Female,Stroke,110
Angola,Female,Chronic obstructive pulmonary disease,53.34
Burundi,Both sexes,Total,2052
Burundi,Both sexes,Lower respiratory infections,1579
Burundi,Both sexes,"Trachea, bronchus, lung cancers",4.3
Burundi,Both sexes,Cataracts,0
Burundi,Both sexes,Ischaemic heart disease,218.6
Burundi,Both sexes,Stroke,171.9
Burundi,Both sexes,Chronic obstructive pulmonary disease,78.27
Burundi,Male,Total,2190
Burundi,Male,Lower respiratory infections,1667
Burundi,Male,"Trachea, bronchus, lung cancers",4.45
Burundi,Male,Ischaemic heart disease,262
Burundi,Male,Stroke,166.2
Burundi,Male,Chronic obstructive pulmonary disease,90.5
Burundi,Female,Total,1918
Burundi,Female,Lower respiratory infections,1494
Burundi,Female,"Trachea, bronchus, lung cancers",4.16
Burundi,Female,Cataracts,0
Burundi,Female,Ischaemic heart disease,176.6
Burundi,Female,Stroke,177.4
Burundi,Female,Chronic obstructive pulmonary disease,66.44
Benin,Both sexes,Total,2365
Benin,Both sexes,Lower respiratory infections,1789
Benin,Both sexes,"Trachea, bronchus, lung cancers",2.86
Benin,Both sexes,Cataracts,0
Benin,Both sexes,Ischaemic heart disease,261
Benin,Both sexes,Stroke,215.9
Benin,Both sexes,Chronic obstructive pulmonary disease,96.12
Benin,Male,Total,2393
Benin,Male,Lower respiratory infections,1785
Benin,Male,"Trachea, bronchus, lung cancers",3.21
Benin,Male,Ischaemic heart disease,296.2
Benin,Male,Stroke,210
Benin,Male,Chronic obstructive pulmonary disease,98.81
Benin,Female,Total,2337
Benin,Female,Lower respiratory infections,1794
Benin,Female,"Trachea, bronchus, lung cancers",2.52
Benin,Female,Cataracts,0
Benin,Female,Ischaemic heart disease,225.9
Benin,Female,Stroke,221.7
Benin,Female,Chronic obstructive pulmonary disease,93.45
Burkina Faso,Both sexes,Total,1915
Burkina Faso,Both sexes,Lower respiratory infections,1449
Burkina Faso,Both sexes,"Trachea, bronchus, lung cancers",5.41
Burkina Faso,Both sexes,Cataracts,0
Burkina Faso,Both sexes,Ischaemic heart disease,262.4
Burkina Faso,Both sexes,Stroke,139.6
Burkina Faso,Both sexes,Chronic obstructive pulmonary disease,57.83
Burkina Faso,Male,Total,1970
Burkina Faso,Male,Lower respiratory infections,1494
Burkina Faso,Male,"Trachea, bronchus, lung cancers",5.75
Burkina Faso,Male,Ischaemic heart disease,287.7
Burkina Faso,Male,Stroke,127
Burkina Faso,Male,Chronic obstructive pulmonary disease,55.46
Burkina Faso,Female,Total,1860
Burkina Faso,Female,Lower respiratory infections,1405
Burkina Faso,Female,"Trachea, bronchus, lung cancers",5.08
Burkina Faso,Female,Cataracts,0
Burkina Faso,Female,Ischaemic heart disease,237.3
Burkina Faso,Female,Stroke,152.2
Burkina Faso,Female,Chronic obstructive pulmonary disease,60.2
Botswana,Both sexes,Total,841.3
Botswana,Both sexes,Lower respiratory infections,368.4
Botswana,Both sexes,"Trachea, bronchus, lung cancers",8.76
Botswana,Both sexes,Cataracts,0
Botswana,Both sexes,Ischaemic heart disease,227
Botswana,Both sexes,Stroke,129.7
Botswana,Both sexes,Chronic obstructive pulmonary disease,107.5
Botswana,Male,Total,913.2
