"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.8882759306722","64.9220116795367","64.988103819572","65.0713214195379","65.1707350087407","65.4059466342161","65.6105925451409","65.7668670532683","65.9441674440243","66.1326063583774","66.3190345199073","66.4895698976577","66.7130545074164","66.9440359442955","67.1378634209685","67.3298689074792","67.2417621261985","67.0437440536712","66.8447295331276","66.4202211097943","65.9846424047306","65.7629308452402","65.5709220055326","65.6544955051808","65.6438649686643","65.8311685747252","65.9170457819994","66.1259218967228","66.2300841276706","66.3621421726286","64.1118907910899","64.8781980606985",
"Afghanistan","AFG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1800003051758","15.21399974823","15.2229995727539","15.1969995498657","15.1780004501343","15.2209997177124","15.0780000686646","14.9540004730225","14.8730001449585","14.8269996643066","14.7950000762939","14.9359998703003","15.1129999160767","15.2980003356934","15.4750003814697","15.6440000534058","15.4549999237061","15.2749996185303","15.1370000839233","15.076000213623","15.1110000610352","15.4540004730225","15.878999710083","16.7940006256104","17.7490005493164","18.746000289917","19.7980003356934","20.886999130249","21.2280006408691","21.5659999847412","16.1889991760254","14.8479995727539",
"Africa Western and Central","AFW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.0382777227459","60.0255498843127","59.9580827752359","59.9261003670034","59.8949969460825","59.8754194168098","59.8147178127327","59.7712042153043","59.7386807401566","59.6993018286118","59.6595881302474","59.5647151774425","59.4770834862585","59.3793160395581","59.3047503596502","59.1886157070961","59.0360437265962","58.9383505087508","58.6840404187184","58.4188686147363","58.1429196279496","58.0376894259193","56.707668264842","55.370492624029","54.999809080104","54.8053934397848","54.5488058961017","54.2955001821571","54.1186073383804","53.977916120396","52.7646289415164","52.990739167386",
"Angola","AGO","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.4079971313477","75.3809967041016","75.3690032958984","75.3710021972656","75.3870010375977","75.4160003662109","75.4140014648438","75.4280014038086","75.4560012817383","75.4940032958984","75.5390014648438","75.5459976196289","75.5640029907227","75.5899963378906","75.6169967651367","75.640998840332","75.625","75.6139984130859","75.6070022583008","75.6029968261719","75.6050033569336","74.8470001220703","74.8339996337891","74.8330001831055","74.8430023193359","74.8639984130859","74.8820037841797","74.9120025634766","74.9550018310547","75.0110015869141","73.6179962158203","73.9680023193359",
"Albania","ALB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.3639984130859","54.7270011901855","55.6080017089844","54.6380004882813","53.8250007629395","52.576000213623","51.6599998474121","52.6150016784668","51.6580009460449","50.4449996948242","49.7820014953613","49.0870018005371","48.7569999694824","48.1860008239746","47.625","47.0670013427734","46.5110015869141","45.9580001831055","45.4099998474121","45.8390007019043","46.7270011901855","52.4459991455078","48.7779998779297","43.5979995727539","43.7330017089844","46.8979988098145","49.6759986877441","49.5099983215332","51.1889991760254","52.7229995727539","49.7859992980957","50.7330017089844",
"Andorra","AND","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4278446755205","19.5349978501422","19.6751502756584","19.6476957271486","20.051176329746","20.0542984088527","20.008495736231","19.8883911439322","19.8095020411417","20.3025498443995","20.3466169654472","20.2541929930129","19.5780986591317","19.8189799273657","20.0279326531645","20.2574590339919","20.5554310087931","21.0635859083954","20.7559521248156","20.854263808455","20.9862294852869","20.99657229311","21.1494943551611","21.4381640179805","21.5011131428282","21.6409853609734","21.8467597588603","21.1973569476645","20.3355869247321","20.074262497125","19.6319728888944","19.6860525249765",
"United Arab Emirates","ARE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0830001831055","29.7789993286133","30.2719993591309","30.9440002441406","31.121000289917","31.2789993286133","31.882999420166","32.4799995422363","33.0719985961914","33.6590003967285","34.2439994812012","34.9109992980957","35.5859985351563","36.2159996032715","36.7439994812012","37.1759986877441","37.9790000915527","38.8120002746582","39.7389984130859","40.7949981689453","41.976001739502","43.3009986877441","44.7179985046387","46.189998626709","47.6590003967285","49.0719985961914","50.3730010986328","51.9469985961914","48.951000213623","48.9230003356934","45.7029991149902","46.5419998168945",
"Argentina","ARG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0410003662109","46.3310012817383","47.4860000610352","48.7169990539551","49.576000213623","48.9659996032715","49.7620010375977","50.9729995727539","51.4939994812012","50.7750015258789","50.5089988708496","49.6129989624023","47.507999420166","48.8009986877441","50.1360015869141","49.2799987792969","49.9160003662109","49.0800018310547","48.2430000305176","48.9640007019043","47.875","48.1339988708496","48.234001159668","47.826000213623","47.5999984741211","47.6790008544922","47.7599983215332","47.8440017700195","49.3160018920898","50.1679992675781","46.6419982910156","50.0099983215332",
